location_id,stop_name,stop_lon,stop_lat,total,greater_98,average_distance,pct_error
3179,"NE Multnomah & 9th",-122.656174,45.531506,486,469,160.56118223251036,0.9650
6038,"Fairgrounds Ave at Ball Park",-122.52713,45.783257,313,296,458.6869326166134,0.9457
2706,"NW 78th St & Fruit Valley Rd [wb]",-122.691498,45.6786,1223,1156,176.9271058879804,0.9452
1169,"NE 3rd Ave 1400 Block",-122.396698,45.588688,2657,2483,603.7526462724884,0.9345
544,"Columbia & 33rd St [nb]",-122.673508,45.645229,1252,1079,124.89244998722037,0.8618
6070,"Evergreen Blvd & Columbia",-122.673981,45.628769,2562,2193,192.82855955737685,0.8560
6040,"Rasmussen & Parkway Ave",-122.536919,45.775002,2577,2167,126.63277282925893,0.8409
2672,"Columbia & Fourth Plain",-122.673698,45.640671,1258,1056,140.48477959141493,0.8394
533,"Columbia & McLoughlin Blvd",-122.673698,45.635288,1260,1037,180.5492339309528,0.8230
3380,"NE 3rd Ave & 1st Ave [wb]",-122.392754,45.588951,2700,2195,167.02107890888882,0.8130
3701,"NE 139th St & 29th Ave [eb]",-122.641579,45.721851,1992,1617,142.2864619011044,0.8117
964,"NW 6th Ave & Norwood",-122.426132,45.58239,2685,2173,134.93814795865921,0.8093
6133,"Columbia & 15th St",-122.673859,45.63269,1253,1007,180.29607834716688,0.8037
4143,"Hazel Dell Ave & 101st St",-122.668983,45.694321,1198,962,191.99625944240373,0.8030
6060,"Fourth Plain & Daniels",-122.675148,45.640152,2777,2223,194.76164773748644,0.8005
4111,"Fourth Plain 12300 Block [wb]",-122.546608,45.668941,1699,1336,192.2243144308415,0.7863
3195,"N Vancouver & Weidler",-122.66777,45.534512,324,253,150.50998215123448,0.7809
3259,"W 15th St 400 Block",-122.674973,45.63261,1222,954,172.34560752864138,0.7807
3385,"Adams & 5th Ave",-122.406487,45.5858,2680,2066,146.7695825238806,0.7709
749,"NW 9th Ave & 94th St [nb]",-122.679482,45.69001,1208,927,232.20658305629178,0.7674
4181,"Bliss Rd & 26th Ave",-122.69738,45.72612,1203,913,173.3112379692436,0.7589
6016,"SW Campus Dr & Loading Dock 5",-122.685104,45.49884,759,574,131.90052959552028,0.7563
2847,"W 39th St & Kauffman [eb]",-122.681427,45.650021,3991,3003,134.25227100526178,0.7524
4147,"Hazel Dell Ave & 60th St",-122.668983,45.665871,2800,2098,161.61603036857176,0.7493
6156,"Broadway & 15th Street [nb]",-122.670395,45.632721,9842,7105,110.03378254988826,0.7219
4175,"NW 119th St 2100 Block",-122.693321,45.707352,1126,806,156.65058334458266,0.7158
2977,"NW 21st Ave & 113th St",-122.69278,45.702919,1194,852,151.32431581323317,0.7136
3275,"Grand & 6th St [nb]",-122.640579,45.624676,2590,1847,137.65044823822367,0.7131
2093,"St Johns 8900 Block",-122.62429,45.687038,2584,1839,173.80825261106764,0.7117
1249,"Mill Plain & Manzanita Wy [wb]",-122.625847,45.628639,6427,4574,159.943572706706,0.7117
652,"E 18th St & Brandt [eb]",-122.630409,45.634739,2877,2032,111.24744059506399,0.7063
3071,"SW 20th Ave & 6th St [nb]",-122.558182,45.776943,2587,1794,143.63157106146113,0.6935
1318,"SE 164th Ave & 32nd St",-122.504066,45.598701,7005,4842,159.37780195888624,0.6912
2665,"E 33rd St & Y St [eb]",-122.64476,45.645031,1251,863,125.35283941806553,0.6898
3202,"E 33rd St & I St",-122.662491,45.645039,1258,862,142.090811088235,0.6852
554,"Lincoln & Bernie Dr",-122.682449,45.66819,1223,838,130.67719709811925,0.6852
4108,"Ward Rd & Fourth Plain",-122.521156,45.67305,1694,1153,155.49691744628078,0.6806
6132,"Columbia & 6th Street",-122.67392,45.62611,1257,855,117.0911813038983,0.6802
3043,"Seward Rd & Creekside Dr",-122.707893,45.721729,1184,801,156.02847673648643,0.6765
2327,"E St & 9th St",-122.361893,45.581291,2681,1808,167.78350352256606,0.6744
3203,"NE 137th Ave & 39th St [nb]",-122.531693,45.649712,3070,2070,122.2136677195439,0.6743
105,"Salmon Creek P&R",-122.659843,45.721519,5452,3668,237.45677444680857,0.6728
2927,"NW 78th St & 10th Ave [eb]",-122.680801,45.6786,1212,806,122.67402678630334,0.6650
728,"Fourth Plain & F St [wb]",-122.666901,45.640228,2690,1783,164.04987889368036,0.6628
2284,"Adams St & 5th Ave",-122.406509,45.585411,2683,1768,134.34845093440185,0.6590
2216,"Hwy 99 & 117th [sb]",-122.649689,45.705921,2010,1324,135.75071685273636,0.6587
3242,"Bernie Dr & Fruit Valley Rd",-122.690376,45.673222,1202,789,135.7011804625626,0.6564
6127,"McGillivray & Blairmont",-122.521805,45.607639,2951,1929,133.27803727990496,0.6537
6092,"SE 192nd Avenue & 20th Street [nb]",-122.475609,45.607555,2815,1833,140.64440656376536,0.6512
3051,"NE 78th St 3300 Block",-122.638298,45.678822,1636,1065,149.95179504523242,0.6510
1314,"SE 164th Ave & McGillivray [nb]",-122.503586,45.603245,6533,4251,150.30772417036553,0.6507
3015,"NW 36th Ave & 131st St",-122.70813,45.71542,1198,779,139.01814367696164,0.6503
6096,"NE 117th Ave & 65th St [sb]",-122.552696,45.670166,2580,1662,105.01513852829456,0.6442
2329,"E St 1200 Block",-122.358612,45.581249,2686,1717,132.03045011950834,0.6392
3352,"NE 152nd Ave & 80th St",-122.516411,45.680771,2275,1443,142.98330463296696,0.6343
1336,"Hwy 99 8500 Block",-122.660873,45.684727,6217,3887,118.35523785411002,0.6252
6082,"SE 192nd Ave & 31st St [sb]",-122.478294,45.598164,2749,1718,136.72868752273558,0.6250
2159,"NW 6th Ave 400 Block [eb]",-122.413544,45.584888,2695,1670,131.564810884601,0.6197
1094,"Fourth Plain 11300 Block",-122.556808,45.66634,4268,2641,138.39226276757233,0.6188
6094,"SE 192nd Avenue & Westridge Blvd",-122.475853,45.614494,2803,1734,136.6366145765253,0.6186
2351,"Main & 28th St",-122.341881,45.57798,2680,1653,124.7227901843283,0.6168
1334,"Hwy 99 & 99th St [sb]",-122.656448,45.693661,1989,1213,128.1955488169937,0.6099
2056,"Evergreen Blvd 3400 Block",-122.634048,45.625191,2790,1700,121.98356952293899,0.6093
684,"Fourth Plain & Falk Rd [eb]",-122.625458,45.63855,1257,765,130.63268174622098,0.6086
1329,"Hwy 99 & Ross St [nb]",-122.664932,45.662369,4572,2752,130.84481285914293,0.6019
688,"Plomondon & Stapleton [eb]",-122.61763,45.64386,1251,746,128.0425131918466,0.5963
4123,"NE 102nd Ave & 63rd St [sb]",-122.568649,45.667439,2301,1360,124.92208224597995,0.5910
4177,"Bliss Rd & 26th Ave [eb]",-122.69796,45.72607,1122,663,122.11107694830638,0.5909
2033,"Fourth Plain & Wintler Dr",-122.623734,45.63937,1262,745,122.29218661251986,0.5903
3170,"NE Multnomah & 3rd [wb]",-122.662933,45.531151,675,397,537.1581648844443,0.5881
2745,"NE 99th St at Gaiser Middle School [wb]",-122.638847,45.693253,2595,1524,133.8916026123314,0.5873
3285,"Kauffman & Fourth Plain [sb]",-122.681023,45.640617,3998,2325,106.21447314882431,0.5815
575,"Columbia & 24th St [sb]",-122.673706,45.638924,1261,733,107.05808839888984,0.5813
545,"Lincoln & 41st St [nb]",-122.682442,45.651749,1219,703,125.51077716160792,0.5767
