location_id,stop_name,stop_lon,stop_lat,total,greater_98,average_distance,pct_error
964,"NW 6th Ave & Norwood",-122.426132,45.58239,1,1,163.28385,1.0000
2159,"NW 6th Ave 400 Block [eb]",-122.413544,45.584888,456,456,225.4315958157897,1.0000
1169,"NE 3rd Ave 1400 Block",-122.396698,45.588688,127,127,556.2663184724407,1.0000
2321,"NE 3rd Ave & Shepherd Rd",-122.375023,45.58836,123,123,174.4342133577234,1.0000
3179,"NE Multnomah & 9th",-122.656174,45.531506,461,460,155.5604862212582,0.9978
2329,"E St 1200 Block",-122.358612,45.581249,347,346,147.3150224380403,0.9971
6038,"Fairgrounds Ave at Ball Park",-122.52713,45.783257,74,73,301.09445882432436,0.9865
3037,"NW 36th Ave & 122nd St",-122.708252,45.708488,170,164,132.56049207058823,0.9647
1336,"Hwy 99 8500 Block",-122.660873,45.684727,1586,1521,147.83223347225695,0.9590
2351,"Main & 28th St",-122.341881,45.57798,1509,1446,170.62319107024513,0.9583
3701,"NE 139th St & 29th Ave [eb]",-122.641579,45.721851,61,58,167.68336819672137,0.9508
2079,"St Johns & 43rd Ave [nb]",-122.626663,45.676952,24,22,157.5239806666667,0.9167
4174,"NW 99th St & 9th Ave [wb]",-122.680038,45.692951,7,6,163.8544797142857,0.8571
6014,"NE 139th St & 10th Ave",-122.66214,45.721729,141,113,237.11282854609917,0.8014
6018,"SW Campus Dr & Main Dental School",-122.683952,45.498337,212,160,112.21561730660368,0.7547
6156,"Broadway & 15th Street [nb]",-122.670395,45.632721,9691,7038,110.23997121360023,0.7262
1020,"St James & Minnehaha",-122.638138,45.666611,471,322,105.36287155414017,0.6837
105,"Salmon Creek P&R",-122.659843,45.721519,4437,2876,163.43020532409292,0.6482
2331,"E St & Washougal River Rd",-122.354607,45.581131,8,4,89.92395862500001,0.5000
4151,"Hwy 99 & 122nd St [nb]",-122.649269,45.709518,62,29,95.07911698387095,0.4677
972,"Ft Vancouver Wy at O'Connell Sports Ctr [nb]",-122.655807,45.63456,5,2,66.16333,0.4000
1340,"Hwy 99 7400 Block",-122.662315,45.676418,15,6,181.5644112666666,0.4000
6019,"SW Campus Dr & Terwilliger",-122.68261,45.499195,61,19,73.68728116393444,0.3115
780,"NE 7th Ave & 101st St",-122.664238,45.693748,156,47,91.38176106410256,0.3013
6163,"General Anderson [eb]",-122.620941,45.639999,9845,2733,89.00458559421062,0.2776
3382,"NE 3rd Ave & Joy",-122.397942,45.588188,290,66,90.93352578965516,0.2276
6017,"700 SW Campus Dr at Doernbecher",-122.685783,45.497978,103,19,79.89634439805828,0.1845
3313,"NE 7th Ave & 101st St",-122.66436,45.693684,199,30,81.93788121105526,0.1508
3173,"NE Multnomah & Grand [wb]",-122.66037,45.531559,149,21,56.343513382550356,0.1409
5002,"SW 5th & Morrison",-122.677658,45.518875,2249,289,71.8452896638506,0.1285
4150,"Hwy 99 & 117th St [nb]",-122.649498,45.705811,501,63,76.34301846107776,0.1257
1075,"NE 18th St & Andresen [wb]",-122.600739,45.636696,211,25,28.77406245971566,0.1185
3741,"Yacolt Rd & Railroad Ave",-122.408119,45.866879,151,15,63.90024703973514,0.0993
1344,"Hwy 99 & 107th St",-122.653,45.699921,421,39,72.54188521852734,0.0926
3043,"Seward Rd & Creekside Dr",-122.707893,45.721729,79,7,36.41511573417721,0.0886
3017,"NW 36th Ave & 124th St [sb]",-122.708199,45.710812,12,1,18.940986833333334,0.0833
1334,"Hwy 99 & 99th St [sb]",-122.656448,45.693661,767,63,34.906036116036525,0.0821
2345,"Addy St 3900 Block",-122.326851,45.573639,37,3,31.11703643243244,0.0811
781,"Hazel Dell Ave & 105th St",-122.669022,45.69659,125,10,33.484103175999984,0.0800
3242,"Bernie Dr & Fruit Valley Rd",-122.690376,45.673222,208,16,45.48422162980769,0.0769
984,"St Johns & 54th St",-122.636299,45.661949,452,34,25.02746880530973,0.0752
744,"NW 9th Ave & 78th St",-122.679703,45.679379,42,3,34.99058323809524,0.0714
1106,"Evergreen Blvd 1400 Block [eb]",-122.656792,45.627129,28,2,76.98739789285715,0.0714
2984,"NW 99th St 900 Block",-122.681267,45.69278,29,2,29.07162331034483,0.0690
967,"NW 6th Ave & 6th Ave [eb]",-122.426086,45.582249,402,26,71.72729664427867,0.0647
5001,"SW 5th & Alder",-122.677284,45.519558,3501,211,45.66819198029146,0.0603
1040,"E 18th St & Devine",-122.615562,45.634953,1039,62,29.008818760346493,0.0597
3095,"NE 162nd Ave & 39th St",-122.50618,45.649899,740,43,25.28559581351349,0.0581
1100,"Fourth Plain & 112th Ave [wb]",-122.558434,45.665939,208,12,24.475937625000007,0.0577
2710,"NW 78th St & Fruit Valley Rd [eb]",-122.691643,45.678421,157,9,30.356845165605115,0.0573
3260,"Mill Plain & Franklin [wb]",-122.677803,45.632801,105,6,26.309155809523816,0.0571
315,"St Johns & 78th St [nb]",-122.625481,45.679428,1135,61,23.950029463436127,0.0537
5005,"SW 5th & Madison",-122.679413,45.515549,1677,89,83.08042768992237,0.0531
660,"McLoughlin & Z St [wb]",-122.644112,45.632542,201,10,14.38766189552239,0.0498
1116,"Evergreen Blvd 4700 Block [eb]",-122.623718,45.622208,402,20,39.710435942786056,0.0498
2844,"Lincoln & 46th St [sb]",-122.682564,45.65514,41,2,34.67566624390245,0.0488
2979,"NW 21st Ave & 108th St",-122.692818,45.69936,66,3,70.44798113636365,0.0455
1115,"Evergreen Blvd & Fairview Dr",-122.625816,45.622921,116,5,27.4442242413793,0.0431
1039,"E 18th St & Carlson Rd",-122.618019,45.634731,538,23,24.45743054832715,0.0428
2007,"Lincoln & 57th St [sb]",-122.682518,45.66375,72,3,30.96040416666665,0.0417
3200,"NW 99th Street 200 Block",-122.672302,45.692879,24,1,24.646344208333332,0.0417
6159,"Gaiser Hall [nb]",-122.650719,45.637081,9713,397,67.73452617811152,0.0409
2998,"NW 36th Ave & 122nd St",-122.708122,45.708771,225,9,54.16444130222224,0.0400
305,"SE 162nd Ave & Village Loop",-122.505859,45.599529,403,16,26.02351481885855,0.0397
5009,"SW 5th & Hall",-122.682388,45.51025,2230,88,47.03318281883398,0.0395
533,"Columbia & McLoughlin Blvd",-122.673698,45.635288,76,3,20.240142986842113,0.0395
2218,"Hwy 99 11300 Block",-122.651093,45.703461,26,1,24.852344538461537,0.0385
2733,"NE 78th St 4700 Block",-122.623932,45.67886,650,24,30.928475906153846,0.0369
3275,"Grand & 6th St [nb]",-122.640579,45.624676,55,2,25.150374999999997,0.0364
3383,"NE 3rd Ave & Wedgewood Ct",-122.381538,45.588539,28,1,68.68657185714287,0.0357
3132,"Andresen & Gulf Dr",-122.60199,45.617588,171,6,34.24756039766084,0.0351
721,"Fourth Plain & Norris [wb]",-122.638351,45.63784,173,6,16.66745879190751,0.0347
5004,"SW 5th & Main",-122.679077,45.516209,790,27,41.8293611531645,0.0342
1257,"Mill Plain & Ft Vancouver Wy [wb]",-122.660439,45.630367,2765,93,39.563462216998204,0.0336
6119,"NE 99th St & Hwy 99 [wb]",-122.655975,45.693169,1108,37,39.709856138989224,0.0334
2395,"NE 117th Ave & 149th St [sb]",-122.552498,45.72908,728,24,23.50453053434066,0.0330
3381,"NE 3rd Ave 2000 Block",-122.386833,45.58868,183,6,63.73935071584699,0.0328
3308,"Grand 300 Block [sb]",-122.643387,45.622162,93,3,28.933936247311824,0.0323
308,"Village Loop & 162nd Ave",-122.506027,45.600159,465,15,48.353002060215026,0.0323
3041,"NW 36th Ave at Salmon Creek Trail",-122.707718,45.721699,31,1,59.959116161290325,0.0323
2838,"NW 78th St & 10th Ave [wb]",-122.680351,45.67873,188,6,20.08162893085106,0.0319
554,"Lincoln & Bernie Dr",-122.682449,45.66819,157,5,18.46432542675159,0.0318
6016,"SW Campus Dr & Loading Dock 5",-122.685104,45.49884,126,4,51.26628535714285,0.0317
755,"Hazel Dell Ave & 103rd St",-122.6689,45.69577,64,2,29.98702384375001,0.0313
6107,"Columbia & Evergreen Blvd",-122.673897,45.628593,65,2,19.741166846153842,0.0308
939,"NE 112th Ave & 34th Cir",-122.55835,45.64703,263,8,19.108266775665395,0.0304
6070,"Evergreen Blvd & Columbia",-122.673981,45.628769,230,7,23.58461984782609,0.0304
3195,"N Vancouver & Weidler",-122.66777,45.534512,66,2,30.145104227272725,0.0303
1013,"St Johns 8600 Block",-122.625717,45.684441,265,8,20.04925186415094,0.0302
323,"Village Loop & McGillivray [sb]",-122.508369,45.604172,1272,38,18.95067048270444,0.0299
6133,"Columbia & 15th St",-122.673859,45.63269,102,3,17.631747578431384,0.0294
558,"Bernie Dr 6400 Block",-122.68486,45.669315,34,1,51.49873938235294,0.0294
2839,"NW 78th St & 12th Ave [wb]",-122.684258,45.678761,68,2,17.40361572058824,0.0294
2736,"NE 78th St & 19th Ct",-122.652771,45.678711,207,6,33.698689270531396,0.0290
6085,"SE 34th St & 177th Ave [wb]",-122.491219,45.596889,316,9,31.184563297468358,0.0285
6090,"SE 34th Street & 189th Avenue [eb]",-122.479912,45.596584,780,22,36.39186525641021,0.0282
5003,"SW 5th & Salmon",-122.678726,45.51693,1788,50,36.28187043903807,0.0280
2726,"NE 99th St & 43rd Ave",-122.62693,45.693119,288,8,22.045458843749994,0.0278
4138,"Kauffman & 25th St [nb]",-122.680946,45.640034,109,3,27.744017752293555,0.0275
6118,"LaLonde & St Johns [wb]",-122.617615,45.692722,772,21,24.539075155440393,0.0272
